,baseMean,log2FoldChange,lfcSE,pvalue,padj
PLD4,2745.427599,-0.360052492,0.135053587,0.000403066,0.012290631
TXNRD2,1332.516449,-0.18867783,0.063948985,0.000403468,0.012290631
SEH1L,846.2867888,0.215314085,0.075517916,0.000424073,0.012837616
GRPEL1,756.7923332,0.278215495,0.102138861,0.000424237,0.012837616
RAB11B,3562.747511,-0.206857167,0.0715067,0.000427219,0.012837616
SLC19A1,1573.980815,-0.240750003,0.086548402,0.000427226,0.012837616
YWHAZ,15718.86502,0.153594863,0.05051675,0.000427752,0.012837616
SEMA6C,33.74378,-1.065254533,0.43913859,0.000428578,NA
BTF3L4,1915.726754,0.191958816,0.065796334,0.000429524,0.012852787
CAPN15,2500.135286,-0.243322076,0.087522101,0.000432684,0.012874332
KIAA0930,18976.051,-0.163923186,0.054130865,0.000433966,0.012874332
ASCC3,1341.012142,0.255106664,0.092526561,0.000434052,0.012874332
INSYN1,13.037242,-0.038732397,0.095213963,0.000436378,NA
CDC42SE2,1330.003214,0.221814867,0.078403654,0.000439081,0.012915862
ATF6,2700.657703,0.16099547,0.053454859,0.000440517,0.012915862
MRPL3,1615.75077,0.218554088,0.077052748,0.000441373,0.012915862
RPL37,5425.692249,0.278148725,0.102371235,0.000441703,0.012915862
CUL9,1218.002789,-0.287140551,0.105922074,0.000441818,0.012915862
RLIM,1942.742654,0.182252152,0.062152221,0.000452744,0.013197228
PCED1A,1708.523083,-0.219413493,0.077226396,0.000457012,0.013283454
BLOC1S3,692.3994892,-0.277810693,0.102796526,0.000462638,0.013379547
SF3A3,2150.509272,0.209440332,0.074036677,0.000463729,0.013379547
OSBPL8,5291.156119,0.140922017,0.045790951,0.000464275,0.013379547
MDH2,5017.710725,-0.178599059,0.060685332,0.000466099,0.01339407
RAG1,27.63968896,1.192070675,0.507018974,0.000466315,NA
AEBP2,905.0939318,0.224646109,0.079698593,0.000468342,0.013420525
RANBP1,1663.734283,0.204455891,0.072402735,0.000475892,0.013596488
EHD1,1454.892773,-0.28275086,0.10549163,0.000477266,0.013596488
RUSF1,2085.623694,-0.198709107,0.069298271,0.000478504,0.013596488
RPS26,2566.886674,0.274978958,0.10242409,0.000480077,0.013603077
CYB5R3,5245.442616,-0.236029668,0.08552789,0.000482528,0.013613287
ARHGAP18,5341.512935,0.181052947,0.062236545,0.000483121,0.013613287
