,baseMean,log2FoldChange,lfcSE,pvalue,padj
ADGRD1,679.827379,-0.364671084,0.136575819,0.000316672,0.010589823
PRELID1,3279.926548,0.194555735,0.067511153,0.000316343,0.010589823
DCTPP1,1138.0481,0.189851979,0.065532751,0.000320023,0.010671918
TSC22D1,4104.54248,0.153131428,0.051153676,0.000321495,0.010691069
PTPRG,2372.144175,-0.152911281,0.051029973,0.00032483,0.010771862
WDR91,2450.587589,-0.210299525,0.073869073,0.000327228,0.010821239
SLC17A5,2370.675895,-0.16211634,0.054760441,0.000331045,0.010917141
ATP6AP2,12181.18068,-0.118308043,0.037280889,0.000334775,0.01097932
SLC39A13,3183.885896,0.186294689,0.064343548,0.000334612,0.01097932
RGS3,434.7923517,0.332410162,0.12453463,0.000337434,0.01103612
CCL3L3,105.6744451,0.585561922,0.228808022,0.000347783,0.011343452
PLEKHF1,545.4608513,0.253447801,0.092549116,0.000352959,0.0114808
BLOC1S6,2809.389452,-0.1425385,0.047301059,0.000356762,0.011572892
CDKN2B,648.7640383,0.225652753,0.081299548,0.000358769,0.011606366
G6PD,3502.720716,0.195325131,0.069411061,0.000360094,0.011617654
